candidate,split,feature,direct_auc,predictive_auc,best_single_threshold_accuracy
absolute_q75,train,history_length,0.460518102372035,0.539481897627965,0.7471428571428571
absolute_q75,train,clean_history_weeks,0.460518102372035,0.539481897627965,0.7471428571428571
absolute_q75,train,weekly_new_stars,0.8250785655861209,0.8250785655861209,0.8157142857142857
absolute_q75,train,cumulative_stars,0.49622777562529596,0.503772224374704,0.7357142857142858
absolute_q75,train,previous_week_stars,0.8049582418528562,0.8049582418528562,0.7957142857142857
absolute_q75,train,weekly_growth_rate,0.5309204012226096,0.5309204012226096,0.7471428571428571
absolute_q75,train,herd_momentum_score,0.7314778940117956,0.7314778940117956,0.7814285714285715
absolute_q75,train,lag_1_week_stars,0.8049582418528562,0.8049582418528562,0.7957142857142857
absolute_q75,train,lag_2_week_stars,0.76950148521245,0.76950148521245,0.7742857142857142
absolute_q75,train,rolling_3week_mean_stars,0.83449029230703,0.83449029230703,0.8128571428571428
absolute_q75,train,rolling_4week_sum_stars,0.8281727581901933,0.8281727581901933,0.8142857142857143
absolute_q75,train,weekly_growth_acceleration,0.5339446381678076,0.5339446381678076,0.76
absolute_q75,train,cumulative_growth_lag_1,0.4804447027422618,0.5195552972577382,0.7357142857142858
absolute_q80,train,history_length,0.43074486344590845,0.5692551365540915,0.7957142857142857
absolute_q80,train,clean_history_weeks,0.43074486344590845,0.5692551365540915,0.7957142857142857
absolute_q80,train,weekly_new_stars,0.8242465545963955,0.8242465545963955,0.8442857142857143
absolute_q80,train,cumulative_stars,0.4892977939320511,0.5107022060679489,0.7871428571428571
absolute_q80,train,previous_week_stars,0.7995734262204048,0.7995734262204048,0.8271428571428572
absolute_q80,train,weekly_growth_rate,0.5331288808117522,0.5331288808117522,0.7971428571428572
absolute_q80,train,herd_momentum_score,0.7183540309960119,0.7183540309960119,0.8114285714285714
absolute_q80,train,lag_1_week_stars,0.7995734262204048,0.7995734262204048,0.8271428571428572
absolute_q80,train,lag_2_week_stars,0.757351456408703,0.757351456408703,0.8085714285714286
absolute_q80,train,rolling_3week_mean_stars,0.8298689989398758,0.8298689989398758,0.8442857142857143
absolute_q80,train,rolling_4week_sum_stars,0.8227384017365844,0.8227384017365844,0.8385714285714285
absolute_q80,train,weekly_growth_acceleration,0.5391110101469029,0.5391110101469029,0.8042857142857143
absolute_q80,train,cumulative_growth_lag_1,0.4719193295976577,0.5280806704023423,0.7871428571428571
absolute_q85,train,history_length,0.41204236339852796,0.587957636601472,0.8457142857142858
absolute_q85,train,clean_history_weeks,0.41204236339852796,0.587957636601472,0.8457142857142858
absolute_q85,train,weekly_new_stars,0.8107673637925328,0.8107673637925328,0.8742857142857143
absolute_q85,train,cumulative_stars,0.4599927503112638,0.5400072496887363,0.8371428571428572
absolute_q85,train,previous_week_stars,0.784826086271296,0.784826086271296,0.8628571428571429
absolute_q85,train,weekly_growth_rate,0.5340026161920222,0.5340026161920222,0.8471428571428572
absolute_q85,train,herd_momentum_score,0.6890986745677768,0.6890986745677768,0.8557142857142858
absolute_q85,train,lag_1_week_stars,0.784826086271296,0.784826086271296,0.8628571428571429
absolute_q85,train,lag_2_week_stars,0.7419189610880838,0.7419189610880838,0.85
absolute_q85,train,rolling_3week_mean_stars,0.8158894264865801,0.8158894264865801,0.8685714285714285
absolute_q85,train,rolling_4week_sum_stars,0.8108461647570566,0.8108461647570566,0.8614285714285714
absolute_q85,train,weekly_growth_acceleration,0.5363351247419268,0.5363351247419268,0.8485714285714285
absolute_q85,train,cumulative_growth_lag_1,0.44080471544971705,0.559195284550283,0.8371428571428572
absolute_q90,train,history_length,0.36595087216462524,0.6340491278353748,0.8971428571428571
absolute_q90,train,clean_history_weeks,0.36595087216462524,0.6340491278353748,0.8971428571428571
absolute_q90,train,weekly_new_stars,0.7657918896527016,0.7657918896527016,0.9042857142857142
absolute_q90,train,cumulative_stars,0.4073087171678721,0.5926912828321279,0.8885714285714286
absolute_q90,train,previous_week_stars,0.7177500615777335,0.7177500615777335,0.9
absolute_q90,train,weekly_growth_rate,0.5729976040663696,0.5729976040663696,0.8985714285714286
absolute_q90,train,herd_momentum_score,0.6011890100539645,0.6011890100539645,0.8942857142857142
absolute_q90,train,lag_1_week_stars,0.7177500615777335,0.7177500615777335,0.9
absolute_q90,train,lag_2_week_stars,0.6757204594818513,0.6757204594818513,0.8971428571428571
absolute_q90,train,rolling_3week_mean_stars,0.765019368996171,0.765019368996171,0.9014285714285715
absolute_q90,train,rolling_4week_sum_stars,0.7586712644707674,0.7586712644707674,0.8985714285714286
absolute_q90,train,weekly_growth_acceleration,0.5841935556102913,0.5841935556102913,0.9
absolute_q90,train,cumulative_growth_lag_1,0.38610358494368435,0.6138964150563156,0.8885714285714286
relative_growth_1_25,train,history_length,0.44198588526319615,0.5580141147368038,0.6657142857142857
relative_growth_1_25,train,clean_history_weeks,0.44198588526319615,0.5580141147368038,0.6657142857142857
relative_growth_1_25,train,weekly_new_stars,0.38951944414129286,0.6104805558587072,0.6628571428571428
relative_growth_1_25,train,cumulative_stars,0.3585797955545855,0.6414202044454145,0.7142857142857143
relative_growth_1_25,train,previous_week_stars,0.3572883698934119,0.642711630106588,0.68
relative_growth_1_25,train,weekly_growth_rate,0.5728382261995708,0.5728382261995708,0.6628571428571428
relative_growth_1_25,train,herd_momentum_score,0.3103195823784059,0.689680417621594,0.6942857142857143
relative_growth_1_25,train,lag_1_week_stars,0.3572883698934119,0.642711630106588,0.68
relative_growth_1_25,train,lag_2_week_stars,0.33068227290916374,0.6693177270908363,0.6957142857142857
relative_growth_1_25,train,rolling_3week_mean_stars,0.3456109716613918,0.6543890283386082,0.6814285714285714
relative_growth_1_25,train,rolling_4week_sum_stars,0.32770835606970056,0.6722916439302995,0.6885714285714286
relative_growth_1_25,train,weekly_growth_acceleration,0.5651260504201681,0.5651260504201681,0.6585714285714286
relative_growth_1_25,train,cumulative_growth_lag_1,0.3610262286732875,0.6389737713267125,0.7114285714285714
relative_growth_1_50,train,history_length,0.3954556297709923,0.6045443702290076,0.7542857142857143
relative_growth_1_50,train,clean_history_weeks,0.3954556297709923,0.6045443702290076,0.7542857142857143
relative_growth_1_50,train,weekly_new_stars,0.38446066099930615,0.6155393390006938,0.7471428571428571
relative_growth_1_50,train,cumulative_stars,0.28334815232477445,0.7166518476752255,0.7771428571428571
relative_growth_1_50,train,previous_week_stars,0.35512447952810555,0.6448755204718944,0.7514285714285714
relative_growth_1_50,train,weekly_growth_rate,0.5569645645385148,0.5569645645385148,0.75
relative_growth_1_50,train,herd_momentum_score,0.27365978487161696,0.7263402151283831,0.7657142857142857
